ProjectName,DeadAliveStatus,rand
xocto,Alive,0.006182689
GSTools,Alive,0.01066045
asynctnt,Alive,0.024820265
jivago,Alive,0.034262193
pycorrector,Alive,0.051273559
linearmodels,Alive,0.052697433
django-datawatch,Alive,0.05415393
osmapi,Alive,0.054222111
mlxtend,Alive,0.084582878
django-silk,Alive,0.086513635
boost-histogram,Alive,0.095906882
meshio,Alive,0.100709716
cabrillo,Alive,0.116496141
centrifuge-python,Alive,0.117911725
django-eav2,Alive,0.120481553a
lark,Alive,0.139900274
prefect,Alive,0.152828656
WTF-OTP,Alive,0.16056923
AcraNetwork,Alive,0.160672762
keras,Alive,0.161443206
Preston,Alive,0.165914779
redis-helper,Alive,0.170901493
zsl,Alive,0.185543029
prosaic,Alive,0.194390484
tooncher,Alive,0.204723357
pandas-profiling,Alive,0.21590409
cloudmesh-common,Alive,0.22953374
aria2p,Alive,0.238796134
pygeometa,Alive,0.241120464
keyper,Alive,0.243497262
pyensembl,Alive,0.24574657
uvicorn,Alive,0.272768327
mo-threads,Alive,0.273717429
pymap3d,Alive,0.295039697
python-fire,Alive,0.296845313
lupyne,Alive,0.29740002
pyecharts,Alive,0.304510814
pyblish-nuke,Alive,0.319342561
gtfparse,Alive,0.319582433
ezapi-yelp,Alive,0.321470615
arch,Alive,0.326578888
sklearn2pmml,Alive,0.359388946
django-distill,Alive,0.37986584
django-statusboard,Alive,0.388502036
django-yamlconf,Alive,0.38966648
NNGT,Alive,0.396448283
Office365-REST-Python-Client,Alive,0.41824737
onecodex,Alive,0.418309877
ols-client,Alive,0.421818031
quickspikes,Alive,0.422169488
pyngrok,Alive,0.432147278
Masonite,Alive,0.458530939
ezapi-tmdb,Alive,0.480034208
NiaPy,Alive,0.481539236
pynco,Alive,0.488083956
batchflow,Alive,0.490148323
alicat,Alive,0.494172386
python-dotenv,Alive,0.503240848
selene,Alive,0.505140398
pconf,Alive,0.505946409
mo-json-config,Alive,0.512123646
cloudmesh-common,Alive,0.514701123
foyer,Alive,0.525365899
stream-learn,Alive,0.526902929
setuptools-rust,Alive,0.529361973
mhctools,Alive,0.53022072
flopy,Alive,0.531632819
flask-session-plus,Alive,0.553451212
django-maintenance-mode,Alive,0.557161592
keras,Alive,0.55764414
pytest-ansible,Alive,0.566778839
surfinBH,Alive,0.569467876
isovar,Alive,0.571147159
apprise,Alive,0.574921617
huber,Alive,0.583162539
pyimagej,Alive,0.590166339
ogr,Alive,0.611445558
tfdeploy,Alive,0.631948001
automata,Alive,0.640361284
midas,Alive,0.649309053
minilog,Alive,0.656156852
sentineleof,Alive,0.665552696
ffmpeg-progress,Alive,0.6664493
flask-resty,Alive,0.671100336
c2cwsgiutils,Alive,0.68238926
pnumpy,Alive,0.688174328
poium,Alive,0.689923795
infi.django_rest_utils,Alive,0.693946861
Rhodium,Alive,0.699500542
dss_python,Alive,0.714704045
pytradfri,Alive,0.718442834
xlsx2html,Alive,0.724457897
green,Alive,0.734021714
liquidctl,Alive,0.738870754
pycobertura,Alive,0.74582033
plaid-python,Alive,0.749754206
pyTibber,Alive,0.758818372
cron-descriptor,Alive,0.761471241
tsmppt60_driver,Alive,0.762764168
tryalgo,Alive,0.766401096
riposte,Alive,0.76867856
pyscroll,Alive,0.779093682
django-rest-registration,Alive,0.781593958
pygls,Alive,0.78264501
detect-secrets,Alive,0.785274939
tad4bj,Alive,0.789980914
pyangbind,Alive,0.791013601
kubernetes_asyncio,Alive,0.805555175
multimethod,Alive,0.817438375
asammdf,Alive,0.821157016
pyotgw,Alive,0.832959843
argus,Alive,0.838051385
ahio,Alive,0.838549008
stea,Alive,0.841092229
paramz,Alive,0.854662924
poium,Alive,0.861107705
piccolo,Alive,0.861166576
latex2mathml,Alive,0.879829904
Flask-MQTT,Alive,0.880898094
rachiopy,Alive,0.881619099
PyTrustNFe,Alive,0.886884447
owlmixin,Alive,0.890978396
raylib-py,Alive,0.915325871
psims,Alive,0.918405134
graphql-core,Alive,0.929311178
pyLIMA,Alive,0.960918065
emmett,Alive,0.963480173
textstat,Alive,0.967499511
varcode,Alive,0.969619998
qpsolvers,Alive,0.975503729
geneview,Alive,0.980286308
indra,Alive,0.984191066
dirwalker,dead,0.018393677
css-html-js-minify,dead,0.021162563
basicevents,dead,0.021816505
bitbutter-python,dead,0.038594118
django-prices-openexchangerates,dead,0.054791464
camo-client,dead,0.061618579
auto_ml,dead,0.065096738
django-jwt-auth,dead,0.078919636
adversarial-vision-challenge,dead,0.079507688
django-fcm,dead,0.080674252
breadpool,dead,0.086564857
basisgen,dead,0.086798498
aisparser,dead,0.087399178
blocksmith,dead,0.09169753
clkhash,dead,0.091768972
aioasuswrt,dead,0.095597009
arsenic,dead,0.097634156
bocadillo,dead,0.131479956
bottlejwt,dead,0.135447947
birdseed,dead,0.139006987
cdptools,dead,0.140996929
django-pipeline-node-sass,dead,0.152844128
AutoML,dead,0.154627913
aa2atom,dead,0.157068176
django-phone-login,dead,0.167116368
django-fuelsdk,dead,0.176094716
convertdate,dead,0.181119763
django-postgres-pgpfields,dead,0.194216604
django-drf-filepond,dead,0.209097151
couchdiscover,dead,0.21107184
django-collectd-rest,dead,0.229288777
django-drupal-auth-backend,dead,0.23155369
aioamqp-consumer-best,dead,0.235562599
as_list,dead,0.236760644
cloudwatch-fluent-metrics,dead,0.251673123
bophono,dead,0.254429661
django-json-404-middleware,dead,0.281900919
cftpl,dead,0.289114769
access_points,dead,0.295153577
cryptojp,dead,0.298033088
adjacent,dead,0.30120218
celery-graceful-stop,dead,0.309382736
django-rlog,dead,0.318333995
alphavantage,dead,0.320426556
django-ip,dead,0.331209949
bfg9000,dead,0.335283294
aeon-venos,dead,0.359175177
commandlib,dead,0.375696459
bamboopy,dead,0.386566076
asynctnt-queue,dead,0.389777771
businesstimedelta,dead,0.394886659
alphabet-detector,dead,0.401267588
brythonmagic,dead,0.406739879
django-rest-apikey,dead,0.412083743
atomos,dead,0.412093413
bunqclient,dead,0.421203345
audiomate,dead,0.438231988
aruudy,dead,0.45124305
cfn-response,dead,0.451275046
CursingSpock,dead,0.45396919
csvwlib,dead,0.454321857
b2blaze,dead,0.463366501
conveyer,dead,0.464456513
django-mdbook,dead,0.473710993
aserve,dead,0.473906125
baratron,dead,0.490560686
dimedbpy,dead,0.505554837
django-breadcrumbs3,dead,0.513750168
backloglib,dead,0.513882475
carlcm,dead,0.521537252
affinegap,dead,0.521692845
django-modeltranslation-rosetta,dead,0.541929635
almapipy,dead,0.563768336
chemfiles,dead,0.568056514
civet,dead,0.573792164
cpgw,dead,0.5798301
accustom,dead,0.589550778
cfg_load,dead,0.589758431
asynces,dead,0.606075771
data-converter,dead,0.607671289
btcpay-python,dead,0.612633196
asks,dead,0.615266521
django-admin-colors,dead,0.617406255
bottle-errorsrest,dead,0.632111816
django-intercoolerjs,dead,0.645105906
clog,dead,0.645934908
bonsai,dead,0.664263392
django-operis,dead,0.665028991
DistanceClassifier,dead,0.668470962
d2api,dead,0.674549111
asarapi,dead,0.682854398
aiojira,dead,0.68361
computer,dead,0.693758845
django-easy-api,dead,0.694850122
channels,dead,0.696462646
django-tagconstants,dead,0.699193683
Affirmpy,dead,0.700333398
asyncio_time_travel,dead,0.712776697
django-admitad,dead,0.72340187
crispr_cas9,dead,0.727992595
django-simple-currencies,dead,0.730665807
CaLi,dead,0.733786664
achallonge,dead,0.753416524
django-npm,dead,0.756656764
django-mips,dead,0.771900304
django-simple-sms,dead,0.780434276
cancer_api,dead,0.790429056
django-octicons,dead,0.809662394
django-compress-react,dead,0.809807407
budiluhur-jadwal,dead,0.815548086
bioeval,dead,0.816579844
dbg,dead,0.818645312
canvasapi,dead,0.81891579
ArcREST,dead,0.828724292
concurrent-log-handler,dead,0.831577763
archive-cdx,dead,0.842892692
confiture,dead,0.866176241
contractions,dead,0.875684675
django-cc,dead,0.885852031
django-lab-inventory,dead,0.893938006
CCIT,dead,0.917096252
dicio,dead,0.924547755
django-envie,dead,0.924878754
buttercms-python,dead,0.926938353
django-easy-split,dead,0.940652696
django-cachekiller,dead,0.954289371
aorun,dead,0.963756152
aiohttp-route-middleware,dead,0.96646456
delcom904x,dead,0.970319957
chumpy,dead,0.97452217
darglint,dead,0.987116108
cfgtodict,dead,0.991314142
